source_url,review,shop_name,rating
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c32945157a8005:0x3226473fd3a9b944!8m2!3d50.6815!4d3.12347!16s%2Fg%2F11q3772qp5!19sChIJBYB6FUUpw0cRRLmp0z9HJjI?authuser=0&hl=en&rclk=1,378,Orange,4.4
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c236fbeffe36bf:0x8c8b556ad3e501eb!8m2!3d50.486769!4d4.2057218!16s%2Fg%2F1hdzrsnmx!19sChIJvzb-7_s2wkcR6wHl02pVi4w?authuser=0&hl=en&rclk=1,342,Orange,3.6
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c259efbee480cf:0xca4eb99a74410d2f!8m2!3d50.438259!4d3.838353!16s%2Fg%2F11r9xnbr4!19sChIJz4Dkvu9ZwkcRLw1BdJq5Tso?authuser=0&hl=en&rclk=1,106,Orange,3.5
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c2d51c6989615b:0x9c8c8d218b54400c!8m2!3d50.58211!4d3.08043!16s%2Fg%2F11rgnpcdld!19sChIJW2GJaRzVwkcRDEBUiyGNjJw?authuser=0&hl=en&rclk=1,377,Orange,4.3
https://www.google.com/maps/place/Orange/data=!4m7!3m6!1s0x47c0f9f7f645a4c9:0x8fd8c20f381c900e!8m2!3d50.6287667!4d5.5679249!16s%2Fg%2F11vz4js56g!19sChIJyaRF9vf5wEcRDpAcOA_C2I8?authuser=0&hl=en&rclk=1,3,Orange,3.7
https://www.google.com/maps/place/Orange+Belgium/data=!4m7!3m6!1s0x47c3dcd20487c691:0xec750651d85d6789!8m2!3d50.8759987!4d4.4145838!16s%2Fg%2F1tf5jt2g!19sChIJkcaHBNLcw0cRiWdd2FEGdew?authuser=0&hl=en&rclk=1,783,Orange Belgium,3.3
https://www.google.com/maps/place/Orange+Carrefour+Ans/data=!4m7!3m6!1s0x47c0fb0c9c14850f:0x57f1f4329ef28580!8m2!3d50.653407!4d5.530657!16s%2Fg%2F11k9d8qybg!19sChIJD4UUnAz7wEcRgIXynjL08Vc?authuser=0&hl=en&rclk=1,16,Orange Carrefour Ans,4.5
https://www.google.com/maps/place/Orange+Carrefour+Auderghem/data=!4m7!3m6!1s0x47c3db7398a3a411:0x8fee7f3996bc81fe!8m2!3d50.814198!4d4.42574!16s%2Fg%2F11k9d8pk3r!19sChIJEaSjmHPbw0cR_oG8ljl_7o8?authuser=0&hl=en&rclk=1,130,Orange Carrefour Auderghem,4.8
https://www.google.com/maps/place/Orange+Carrefour+Berchem+St+Agathe/data=!4m7!3m6!1s0x47c3c185574e843f:0x20d31a7505fa8bd5!8m2!3d50.872138!4d4.292401!16s%2Fg%2F11trqz7b65!19sChIJP4ROV4XBw0cR1Yv6BXUa0yA?authuser=0&hl=en&rclk=1,39,Orange Carrefour Berchem St Agathe,4.7
https://www.google.com/maps/place/Orange+Carrefour+Bierges+%28+Wavre+%29/data=!4m7!3m6!1s0x47c17da915d71c29:0xbf00d5683bfbf27f!8m2!3d50.712071!4d4.605202!16s%2Fg%2F11shhzjrhd!19sChIJKRzXFal9wUcRf_L7O2jVAL8?authuser=0&hl=en&rclk=1,8,Orange Carrefour Bierges ( Wavre ),4.5
https://www.google.com/maps/place/Orange+Carrefour+Borsbeek/data=!4m7!3m6!1s0x47c3f9a840ea9e35:0x643c021f9c2649cd!8m2!3d51.193606!4d4.474229!16s%2Fg%2F11trqxq2vk!19sChIJNZ7qQKj5w0cRzUkmnB8CPGQ?authuser=0&hl=en&rclk=1,4,Orange Carrefour Borsbeek,5
https://www.google.com/maps/place/Orange+Carrefour+Brugge/data=!4m7!3m6!1s0x47c357b568c22cff:0xd52713afcc43afbc!8m2!3d51.250925!4d3.201412!16s%2Fg%2F11trqy0c9r!19sChIJ_yzCaLVXw0cRvK9DzK8TJ9U?authuser=0&hl=en&rclk=1,62,Orange Carrefour Brugge,4.7
https://www.google.com/maps/place/Orange+Carrefour+Drogenbos/data=!4m7!3m6!1s0x47c3c5e0e6c67c5f:0x9b8c3a16285bc36!8m2!3d50.79374!4d4.306726!16s%2Fg%2F11k9d8bpl7!19sChIJX3zG5uDFw0cRNryFYqHDuAk?authuser=0&hl=en&rclk=1,37,Orange Carrefour Drogenbos,4.7
https://www.google.com/maps/place/Orange+Carrefour+Evere/data=!4m7!3m6!1s0x47c3c3382ec0036b:0xeb8c47e91420c8fe!8m2!3d50.868261!4d4.404002!16s%2Fg%2F11trqy6pny!19sChIJawPALjjDw0cR_sggFOlHjOs?authuser=0&hl=en&rclk=1,50,Orange Carrefour Evere,4.7
https://www.google.com/maps/place/Orange+Carrefour+Flemalle/data=!4m7!3m6!1s0x47c0f93b3a5f7f5f:0x4f7db017d800c565!8m2!3d50.603165!4d5.485497!16s%2Fg%2F11trqycdtn!19sChIJX39fOjv5wEcRZcUA2BewfU8?authuser=0&hl=en&rclk=1,9,Orange Carrefour Flemalle,4.6
https://www.google.com/maps/place/Orange+Carrefour+Gosselies/data=!4m7!3m6!1s0x47c22f74fdbf6543:0x9a4e5deb0520e0e9!8m2!3d50.46043!4d4.436669!16s%2Fg%2F11k9d893zl!19sChIJQ2W__XQvwkcR6eAgBetdTpo?authuser=0&hl=en&rclk=1,10,Orange Carrefour Gosselies,2.5
https://www.google.com/maps/place/Orange+Carrefour+Hasselt/data=!4m7!3m6!1s0x47c12353d74b024b:0x6ec38d2b1e2fcd23!8m2!3d50.938797!4d5.317239!16s%2Fg%2F11k9d8jjk9!19sChIJSwJL11MjwUcRI80vHiuNw24?authuser=0&hl=en&rclk=1,10,Orange Carrefour Hasselt,5
https://www.google.com/maps/place/Orange+Carrefour+Herstal/data=!4m7!3m6!1s0x47c0f1f60d964553:0xdbea25f75b2fd0b3!8m2!3d50.687349!4d5.644617!16s%2Fg%2F11shh_9_2g!19sChIJU0WWDfbxwEcRs9AvW_cl6ts?authuser=0&hl=en&rclk=1,11,Orange Carrefour Herstal,4.7
https://www.google.com/maps/place/Orange+Carrefour+Jambes/data=!4m7!3m6!1s0x47c1991caec8920f:0xe08824385fec2309!8m2!3d50.463255!4d4.889002!16s%2Fg%2F11cm75vdp7!19sChIJD5LIrhyZwUcRCSPsXzgkiOA?authuser=0&hl=en&rclk=1,21,Orange Carrefour Jambes,4.6
https://www.google.com/maps/place/Orange+Carrefour+Korbeek-Lo/data=!4m7!3m6!1s0x47c167d5d6b98251:0x7f5e4dc992aebead!8m2!3d50.8641146!4d4.7464545!16s%2Fg%2F11shh_1dy9!19sChIJUYK51tVnwUcRrb6ukslNXn8?authuser=0&hl=en&rclk=1,10,Orange Carrefour Korbeek-Lo,4.2
https://www.google.com/maps/place/Orange+Carrefour+Kraainem/data=!4m7!3m6!1s0x47c3ddf2541a4723:0x1a2676505329694e!8m2!3d50.84922!4d4.473977!16s%2Fg%2F11trqxxsys!19sChIJI0caVPLdw0cRTmkpU1B2Jho?authuser=0&hl=en&rclk=1,56,Orange Carrefour Kraainem,5
https://www.google.com/maps/place/Orange+Carrefour+Kuringen/data=!4m7!3m6!1s0x47c123bb8ef7cc11:0x5a70e0e2bae2271e!8m2!3d50.944619!4d5.284586!16s%2Fg%2F11t9qf5yvd!19sChIJEcz3jrsjwUcRHifiuuLgcFo?authuser=0&hl=en&rclk=1,64,Orange Carrefour Kuringen,5
https://www.google.com/maps/place/Orange+Carrefour+Lier/data=!4m7!3m6!1s0x47c3fba166f0a205:0x8f91a05dfc2ecd5e!8m2!3d51.125426!4d4.550439!16s%2Fg%2F11trqygc_0!19sChIJBaLwZqH7w0cRXs0u_F2gkY8?authuser=0&hl=en&rclk=1,13,Orange Carrefour Lier,4.6
https://www.google.com/maps/place/Orange+Carrefour+Mont+St+Jean/data=!4m7!3m6!1s0x47c3dd457c1a8955:0x576656a71c6f277e!8m2!3d50.6892451!4d4.4106111!16s%2Fg%2F11cm75vvmf!19sChIJVYkafEXdw0cRfidvHKdWZlc?authuser=0&hl=en&rclk=1,14,Orange Carrefour Mont St Jean,4.4
https://www.google.com/maps/place/Orange+Carrefour+Ninove/data=!4m7!3m6!1s0x47c3a5138a573607:0x9026fc00b26a5ff0!8m2!3d50.83649!4d4.005799!16s%2Fg%2F11trqxx46p!19sChIJBzZXihOlw0cR8F9qsgD8JpA?authuser=0&hl=en&rclk=1,4,Orange Carrefour Ninove,5
https://www.google.com/maps/place/Orange+Carrefour+Oostakker/data=!4m7!3m6!1s0x47c377c3178e8b3f:0xfa652e50603bb0ae!8m2!3d51.076151!4d3.774077!16s%2Fg%2F11k9d8t5dw!19sChIJP4uOF8N3w0cRrrA7YFAuZfo?authuser=0&hl=en&rclk=1,20,Orange Carrefour Oostakker,4.3
https://www.google.com/maps/place/Orange+Carrefour+Schoten/data=!4m7!3m6!1s0x47c3f7e7ddcbce71:0x610290eff09ff867!8m2!3d51.259237!4d4.466312!16s%2Fg%2F11k9d96kyn!19sChIJcc7L3ef3w0cRZ_if8O-QAmE?authuser=0&hl=en&rclk=1,18,Orange Carrefour Schoten,4.2
https://www.google.com/maps/place/Orange+Carrefour+Sint+Eloois+-+Vijve/data=!4m7!3m6!1s0x47c33fcc86902747:0x3b52c51b02e9e0e2!8m2!3d50.89808!4d3.401662!16s%2Fg%2F11shh_4288!19sChIJRyeQhsw_w0cR4uDpAhvFUjs?authuser=0&hl=en&rclk=1,58,Orange Carrefour Sint Eloois - Vijve,4.7
